社区,体检安全,体检民生,12345安全,12345民生,bldg_n,area_km2,resi_km2,TJ安/百栋,TJ民/百栋,热线安/千栋,热线民/千栋,体检点/km2,热线件/km2,TJ安EB,TJ民EB,热线安EB,热线民EB,score,rank_v2,rank_v1
气象台社区,1,10,15,32,69,0.4492466597828349,0.041496298129931816,1.4492753623188406,14.492753623188406,217.3913043478261,463.768115942029,265.08388689413135,1132.6311530931066,1.5356168725584503,13.40928880705509,208.64573909989429,462.5675483871354,0.7408536585365854,28,26.0
营盘路社区,0,37,10,107,66,0.3343695820302909,0.018969356001181874,0.0,56.060606060606055,151.51515151515153,1621.212121212121,1950.5142925091784,6167.842492529024,0.1393717112217425,50.730606805208446,146.01499870926443,1611.7854456370658,0.7378048780487805,29,29.0
山庄路社区,1,11,16,37,78,0.2524153273662153,0.03303847395296575,1.282051282051282,14.102564102564102,205.1282051282051,474.35897435897436,363.21290193619257,1604.1903168848505,1.3635508264497307,13.167156146070976,197.91964771261027,473.2327655502833,0.7347560975609755,30,103.0
三峡物流园社区,0,2,11,27,23,1.0493339460527145,0.016871628028187483,0.0,8.695652173913043,478.26086956521743,1173.913043478261,118.54220568747684,2252.30190806206,0.3760501792867164,7.388344865683038,417.2124628590197,1156.1592263834928,0.7332317073170732,31,104.0
唐家湾社区,0,1,11,20,15,0.8331321786071991,0.01158450035834681,0.0,6.666666666666667,733.3333333333333,1333.3333333333333,86.32223825514276,2675.9893859094254,0.5497333466656118,5.564593047669017,594.3829734187254,1301.5617098559876,0.7301829268292683,32,109.0
学堂湾社区,3,7,9,29,62,0.5596359397852347,0.037487253914718015,4.838709677419355,11.29032258064516,145.16129032258067,467.7419354838709,266.75733631355325,1013.6778779915024,4.812130799982743,10.440010717255296,139.6974580496839,466.37698534839427,0.729420731707317,33,49.0
枫香树社区,0,1,11,115,28,1.2221850216095247,0.022336871576045542,0.0,3.571428571428571,392.85714285714283,4107.142857142857,44.76902670078552,5640.897364298975,0.31403908809957093,3.522401677502268,351.6931920532226,4044.1550775056767,0.7225609756097561,34,35.0
杨岔路社区,3,18,3,28,63,0.384383215872779,0.03018751546953986,4.761904761904762,28.57142857142857,47.61904761904761,444.4444444444444,695.6518174272954,1026.9145876307696,4.738462058986433,25.911750311526298,47.83932854439177,443.27326249849415,0.7210365853658537,35,16.0
东门外正街社区,22,13,2,6,52,0.18603485670994463,0.03710121685270978,42.30769230769231,25.0,38.46153846153847,115.38461538461539,943.3652847276811,215.62635079489854,40.67513075762894,22.29409004111872,39.35479030991693,116.91106655417624,0.7073170731707317,36,15.0
肖家岗社区,14,6,7,18,70,0.23308312977059226,0.04580611019922959,20.0,8.571428571428571,100.0,257.1428571428571,436.6229726342574,545.7787157928218,19.489748243509034,8.06964202509639,97.47609306575733,257.33535912186676,0.7073170731707317,37,78.0
桔城路社区,20,6,4,27,73,0.5193814294289878,0.04475722206733513,27.397260273972602,8.21917808219178,54.794520547945204,369.86301369863014,580.9118349857421,692.6256494060772,26.67936726544354,7.768620561119557,54.627643204741666,369.3276410577707,0.7012195121951219,38,27.0
合益路社区,18,2,2,55,54,0.28694391768862104,0.042454722407043025,33.33333333333333,3.7037037037037033,37.03703703703704,1018.5185185185186,471.0901135625398,1342.6068236532383,32.12861125554185,3.659445007161176,37.993949008635376,1012.207737450213,0.6859756097560976,39,25.0
环城东路社区,21,7,3,11,64,0.1302662763553754,0.034838509404036704,32.8125,10.9375,46.875,171.875,803.7083238915976,401.8541619457988,31.80765639451838,10.14766594025433,47.13413845579607,172.70611192470682,0.6829268292682926,40,69.0
桃花岭社区,15,16,4,11,90,0.14163022983547316,0.04282530586686541,16.666666666666664,17.77777777777778,44.44444444444444,122.22222222222221,723.871070445411,350.26019537681174,16.350762237794527,16.677575267420046,44.7312163158381,123.07204609046352,0.6783536585365855,41,10.0
张家湾社区,0,0,28,159,39,0.849480117963023,0.03000639525221945,0.0,0.0,717.9487179487179,4076.9230769230767,0.0,6232.004825243658,0.23043963547671933,0.5336322980502666,658.2223310003633,4031.8491606915163,0.6714939024390243,42,47.0
张家店社区,0,12,10,62,80,0.16771456038632548,0.03140777047435553,0.0,15.0,125.0,775.0,382.07105498933805,2292.4263299360287,0.11566938568108819,14.00979518110037,121.63240682071789,772.1484534962397,0.663109756097561,43,116.0
花溪路社区,0,0,15,57,31,2.0996166274889383,0.02086928778477008,0.0,0.0,483.8709677419355,1838.7096774193546,0.0,3450.045863689892,0.28576528121774575,0.644740327855033,436.22282380978186,1815.555207137584,0.6600609756097561,44,46.0
北山坡社区,5,5,5,20,68,0.14257782690825688,0.03319439404002969,7.352941176470589,7.352941176470589,73.52941176470588,294.11764705882354,301.25568757004055,753.1392189251013,7.245638866071223,6.957764073756309,72.34976866619253,294.0623437268121,0.6585365853658537,45,45.0
镇境山社区,67,15,4,1,78,0.28489547867118364,0.04254428540704787,85.8974358974359,19.230769230769234,51.28205128205128,12.82051282051282,1927.4033919116177,117.52459706778157,83.53363465482431,17.84975819998813,51.2901328628683,14.454585958539331,0.6577743902439024,46,82.0
叶家坝社区,4,3,1,6,26,0.7175608205166195,0.018924103158107983,15.384615384615385,11.538461538461538,38.46153846153847,230.76923076923077,369.8986388689637,369.8986388689637,14.45990977625893,9.717157896262659,40.13312123090375,231.74932760320735,0.65625,47,68.0
船柴社区,3,2,4,12,39,1.0845775389903636,0.028184152199691465,7.6923076923076925,5.128205128205128,102.56410256410255,307.69230769230774,177.4046621865296,567.6949189968948,7.490634808408222,4.8418795490950535,97.98401644411481,307.4349660963934,0.6554878048780488,48,40.0
白马山社区,4,1,1,46,31,0.2635220767920432,0.024135624327342037,12.903225806451612,3.225806451612903,32.25806451612903,1483.8709677419356,207.16265434806886,1947.3289508718472,12.290133719523109,3.2473758460461655,34.37330862030404,1466.0081251581703,0.6547256097560976,49,54.0
新金岭社区,0,0,2,7,6,10.577202389360119,0.07752597945640381,0.0,0.0,333.3333333333333,1166.6666666666667,0.0,116.09011666935581,1.1443108376951399,1.8455895687871673,223.35077554311258,1102.785066138023,0.6539634146341464,50,75.0
东星社区,0,0,9,55,30,0.5136883661619005,0.022865738634312197,0.0,0.0,300.0,1833.3333333333333,0.0,2798.9474131380985,0.2946066996347681,0.6619689673178505,271.8033196006052,1809.5017425922156,0.6486280487804879,51,38.0
中南路社区,0,0,6,53,28,0.1897055702785351,0.022903588362667204,0.0,0.0,214.28571428571428,1892.857142857143,0.0,2576.0155599098116,0.31403908809957093,0.6993444923090819,194.6526512294538,1866.3701520171828,0.6425304878048781,52,
刘家大堰社区,20,5,1,21,64,0.1566179180315651,0.048762841451284074,31.25,7.8125,15.625,328.125,512.6854640941289,451.1632084028334,30.299842977729114,7.347431487259193,17.65253367359954,327.81871407345767,0.6371951219512195,53,32.0
夷陵路社区,10,8,5,9,81,0.21300710219584235,0.025423536019567337,12.345679012345679,9.876543209876543,61.72839506172839,111.1111111111111,708.005368967803,550.6708425305134,12.116028144719648,9.327623005794864,61.26349978739119,112.11882018269966,0.6371951219512195,54,90.0
青岛路社区,1,3,1,23,35,1.2914184887568831,0.031529077481648,2.857142857142857,8.571428571428571,28.57142857142857,657.1428571428571,126.86701671903542,761.2021003142124,2.9345796388330734,7.655652009078834,30.83321888830505,652.2329131752693,0.634908536585366,55,44.0
长江社区,3,3,4,16,55,1.2308382606661796,0.050108231053675054,5.454545454545454,5.454545454545454,72.72727272727272,290.9090909090909,119.740806526834,399.13602175611334,5.399782728420976,5.202805407165953,71.33933177911466,290.8679722508922,0.6295731707317074,56,41.0
山河园路社区,1,2,1,21,31,0.25130969153427746,0.01882297178229123,3.225806451612903,6.451612903225806,32.25806451612903,677.4193548387096,159.37972147535274,1168.7846241525867,3.286857390794086,5.8500113642372975,34.37330862030404,671.5829388413206,0.6257621951219512,57,42.0
东艳路社区,4,1,2,7,28,0.19038474965376706,0.01727495819299984,14.285714285714285,3.571428571428571,71.42857142857143,250.0,289.43630103985436,520.9853418717379,13.506127719412921,3.522401677502268,69.02021857043871,250.5942395579779,0.6257621951219512,58,37.0
胡家冲社区,0,1,14,69,53,0.31532844395816034,0.032151272730571605,0.0,1.8867924528301887,264.1509433962264,1301.8867924528302,31.102967785444225,2581.546326191871,0.17212284715398515,2.0649990653141717,249.78536920129963,1292.9708918845456,0.6234756097560975,59,137.0
黄河路社区,3,5,16,32,122,1.2549226852782587,0.04283113194257902,2.459016393442623,4.098360655737705,131.14754098360658,262.29508196721315,186.78002745117948,1120.6801647070768,2.4896963272530024,4.054721744579762,128.71637550373438,262.3861053445769,0.6234756097560975,60,80.0
岳湾路社区,0,2,19,206,83,0.5303052562788673,0.06373622418075824,0.0,2.4096385542168677,228.9156626506024,2481.927710843374,31.379329819223802,3530.1746046626777,0.1116023057052377,2.485801296546884,221.07057981432666,2469.5816928818804,0.6196646341463414,61,150.0
常家湾社区,14,13,2,5,82,0.19340733300107676,0.041872118345262783,17.073170731707318,15.853658536585366,24.390243902439025,60.97560975609756,644.8204931350136,167.17568340537392,16.71610448546039,14.814741770597054,25.600611951159614,62.25639739487097,0.6189024390243902,62,62.0
柏临河路社区,0,1,16,72,60,1.9192683521326808,0.04248887261144095,0.0,1.6666666666666667,266.6666666666667,1200.0,23.53557387000969,2071.130500560853,0.15278978122706136,1.8506051471052016,253.72501050628327,1192.906945187849,0.6097560975609756,63,67.0
幸福路社区,48,17,1,0,58,0.39670805651742547,0.03143917898594929,82.75862068965517,29.310344827586203,17.241379310344826,0.0,2067.484015058078,31.807446385508893,79.73186521482106,26.36356292109027,19.36529345828476,2.2959257737443255,0.6028963414634146,64,43.0
王家河社区,17,8,1,5,66,0.4348553808844383,0.03829887921772783,25.757575757575758,12.121212121212121,15.151515151515152,75.75757575757576,652.76061625396,156.66254790095041,25.021837481999714,11.233226488439634,17.147012235671973,77.24229981151272,0.6021341463414634,65,28.0
土街头社区,9,4,1,3,38,0.1802121440348813,0.019252636706939875,23.684210526315788,10.526315789473683,26.31578947368421,78.94736842105263,675.2321875638974,207.7637500196607,22.556917226142755,9.351571204820425,28.622366557875196,81.47384077471601,0.6021341463414634,66,55.0
东站路社区,0,0,8,61,41,0.7615922221029092,0.03243569054268235,0.0,0.0,195.1219512195122,1487.8048780487804,0.0,2127.2862962236745,0.2198009819553981,0.5115916642391108,182.82175615893175,1474.205003210414,0.5960365853658537,67,48.0
铁路坝社区,4,21,0,7,56,0.24018512444888973,0.04307029844365168,7.142857142857142,37.5,0.0,125.0,580.4464074635373,162.52499408979045,7.021838037361189,33.50182578305876,3.3010072466124556,126.33841535027057,0.5914634146341463,68,64.0
八一路社区,1,1,4,33,58,0.3781411293886754,0.033148545046578964,1.7241379310344827,1.7241379310344827,68.9655172413793,568.9655172413793,60.3344731175888,1116.1877526753929,1.8156475202001037,1.9071790344803778,67.87843656721874,566.6947334936772,0.5891768292682926,69,30.0
苏家榜社区,8,5,2,11,70,0.31608298923540357,0.039667395909295564,11.428571428571429,7.142857142857142,28.57142857142857,157.14285714285714,327.72506745151907,327.72506745151907,11.193426093629121,6.7780293481372125,29.761119385868017,158.00131486932383,0.5838414634146342,70,95.0
黑虎山社区,0,0,0,8,4,4.564465540101656,0.0032405339136315917,0.0,0.0,0.0,2000.0,0.0,1.7526696016685954,1.506365592714998,2.1687368426617404,25.198481182705184,1820.0280816682669,0.5777439024390244,71,34.0
张家坡社区,1,1,10,32,85,0.25721046785904333,0.04230185176654287,1.1764705882352942,1.1764705882352942,117.6470588235294,376.4705882352941,47.279254133783056,992.8643368094441,1.2542434024158138,1.3500226792879055,114.78673504630748,375.9741017762662,0.5746951219512195,72,57.0
古塔社区,0,2,13,37,68,0.590280659624233,0.040861005790054056,0.0,2.941176470588235,191.17647058823528,544.1176470588235,48.94642119863869,1223.6605299659673,0.1354078509667144,2.9801759787337145,183.71002940395263,542.3488226500358,0.5746951219512195,73,50.0
深圳路社区,78,29,0,7,127,0.363686308987658,0.08586224903873872,61.417322834645674,22.83464566929134,0.0,55.118110236220474,1246.1821254149131,81.5259334383588,60.388566220092954,21.75804358824508,1.5097089969752915,55.96831141250002,0.5731707317073171,74,36.0
