社区,体检安全,体检民生,12345安全,12345民生,bldg_n,area_km2,resi_km2,TJ安/百栋,TJ民/百栋,热线安/千栋,热线民/千栋,体检点/km2,热线件/km2,TJ安EB,TJ民EB,热线安EB,热线民EB,score,rank_new,rank_old,Δ(old-new)
刘家大堰社区,20,5,4,27,64,0.1566179180315651,0.048762841451284074,31.25,7.8125,62.5,421.875,512.6854640941289,635.7299754767198,30.30423482316587,7.367839864430649,62.677941625550126,421.78165686276634,0.7104430379746836,32,19,-13
白沙路社区,0,6,4,54,39,0.2993244084356639,0.026904266477885436,0.0,15.384615384615385,102.56410256410255,1384.6153846153845,223.01295613957117,2155.7919093491882,0.2519196699831345,13.467518993874016,101.26308276001453,1378.7292920983175,0.7104430379746836,33,67,34
黑虎山社区,0,0,3,8,4,4.564465540101656,0.0032405339136315917,0.0,0.0,750.0,2000.0,0.0,2.4099207022943188,1.642414090752331,2.370443752266001,554.7635920387784,1911.491616300849,0.7041139240506329,34,124,90
枫香树社区,0,1,14,90,28,1.2221850216095247,0.022336871576045542,0.0,3.571428571428571,500.0,3214.285714285714,44.76902670078552,4655.978776881694,0.3432519335956577,3.581654143949594,476.6037089668972,3190.9652512048415,0.7033227848101267,35,59,24
深圳路社区,78,29,3,11,127,0.363686308987658,0.08586224903873872,61.417322834645674,22.83464566929134,23.62204724409449,86.61417322834646,1246.1821254149131,163.0518668767176,60.38620292389913,21.750765194505842,24.199562185926464,87.18269747962536,0.7009493670886076,36,13,-23
东艳路社区,4,1,2,39,28,0.19038474965376706,0.01727495819299984,14.285714285714285,3.571428571428571,71.42857142857143,1392.857142857143,289.43630103985436,2373.377668526806,13.526713242892852,3.581654143949594,71.33733241061503,1384.6095894429839,0.6985759493670886,37,63,26
东星社区,0,0,88,279,30,0.5136883661619005,0.022865738634312197,0.0,0.0,2933.333333333333,9300.0,0.0,16050.214072213783,0.3220249183379668,0.7309564766420106,2787.468488700555,9231.192439758728,0.6962025316455697,38,36,-2
建设社区,0,9,11,121,66,0.3081234590168105,0.028646408347113607,0.0,13.636363636363635,166.66666666666666,1833.3333333333333,314.17551167132035,4607.907504512698,0.15239191129142468,12.602981425271933,164.35858669258178,1828.2638184362681,0.6946202531645569,39,64,25
船柴社区,3,2,5,23,39,1.0845775389903636,0.028184152199691465,7.6923076923076925,5.128205128205128,128.2051282051282,589.7435897435897,177.4046621865296,993.4661082445658,7.508630187568663,4.88234650420314,125.8874658420113,588.5910837445601,0.6835443037974684,40,42,2
长江社区,3,3,10,26,55,1.2308382606661796,0.050108231053675054,5.454545454545454,5.454545454545454,181.8181818181818,472.7272727272727,119.740806526834,718.444839161004,5.413480336996619,5.23195141306965,178.6306631704073,472.40361088764257,0.6787974683544304,41,47,6
山河园路社区,1,2,3,27,31,0.25130969153427746,0.01882297178229123,3.225806451612903,6.451612903225806,96.77419354838709,870.9677419354839,159.37972147535274,1593.7972147535274,3.311672467124456,5.8944426401214045,95.43988623828817,867.4163493914816,0.6787974683544303,42,82,40
幸福路社区,48,17,2,1,58,0.39670805651742547,0.03143917898594929,82.75862068965517,29.310344827586203,34.48275862068965,17.241379310344826,2067.484015058078,95.42233915652668,79.72043870404188,26.33673587580585,35.43539603165293,18.761872297251028,0.6772151898734177,43,31,-12
青岛路社区,1,3,2,31,35,1.2914184887568831,0.031529077481648,2.857142857142857,8.571428571428571,57.14285714285714,885.7142857142857,126.86701671903542,1046.6528879320422,2.956923700027475,7.688730393137459,57.697364634330675,882.4682873875141,0.6764240506329114,44,60,16
北山坡社区,5,5,4,46,68,0.14257782690825688,0.03319439404002969,7.352941176470589,7.352941176470589,58.8235294117647,676.4705882352941,301.25568757004055,1506.2784378502026,7.256284273423332,6.977965596603568,59.07628654359035,675.5109425303974,0.6740506329113924,45,23,-22
花溪路社区,0,0,29,113,31,2.0996166274889383,0.02086928778477008,0.0,0.0,935.4838709677418,3645.1612903225805,0.0,6804.257120055065,0.3123664054421286,0.7120158344503685,892.7375514856687,3620.8576098085514,0.6693037974683544,46,51,5
张家湾社区,0,0,42,273,39,0.849480117963023,0.03000639525221945,0.0,0.0,1076.923076923077,7000.0,0.0,10497.762138779424,0.2519196699831345,0.5897602593677013,1036.9896398758913,6960.673409178086,0.6637658227848102,47,39,-8
东站路社区,0,0,24,227,41,0.7615922221029092,0.03243569054268235,0.0,0.0,585.3658536585366,5536.585365853658,0.0,7738.389280465831,0.24029467723887346,0.5654862733801524,565.8817656471266,5507.4584329871395,0.6471518987341771,48,46,-2
学堂湾社区,3,7,1,27,62,0.5596359397852347,0.037487253914718015,4.838709677419355,11.29032258064516,16.129032258064516,435.48387096774195,266.75733631355325,746.9205416779491,4.824519401731113,10.453479132021107,17.486350094862676,435.336436555932,0.6352848101265822,49,56,7
古塔社区,0,2,30,132,68,0.590280659624233,0.040861005790054056,0.0,2.941176470588235,441.1764705882353,1941.1764705882354,48.94642119863869,3964.660117089734,0.14805896713016034,3.009289481885833,432.58501107380556,1935.8862769919153,0.6344936708860759,50,34,-16
小林园社区,3,6,4,4,56,0.1773175497078636,0.025920145379688748,5.357142857142857,10.714285714285714,71.42857142857143,71.42857142857143,347.2202747386008,308.64024421208956,5.320690084668951,9.867255242847262,71.38167689341535,72.77800230443124,0.6313291139240506,51,97,46
艾家嘴社区,2,2,24,231,166,0.8647559272138877,0.0807268765186768,1.2048192771084338,1.2048192771084338,144.57831325301206,1391.566265060241,49.549792739405305,3158.799287137088,1.2499305910285883,1.3104183369135274,143.85947862424467,1390.1672890934199,0.6265822784810127,52,32,-20
东锦苑社区,0,0,16,58,38,0.6289315025302938,0.021492130931459005,0.0,0.0,421.05263157894734,1526.3157894736844,0.0,3443.1206582537075,0.2581644181445201,0.6026958795802266,406.772194078058,1519.4098273284935,0.622626582278481,53,69,16
白马山社区,4,1,1,18,31,0.2635220767920432,0.024135624327342037,12.903225806451612,3.225806451612903,32.25806451612903,580.6451612903227,207.16265434806886,787.2180865226616,12.309590652171439,3.3032292372858865,34.10929660387429,579.2655198129511,0.6139240506329114,54,89,35
